area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,2077,3,3,175,17500000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180,2,2,88.5,8850000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2180,3,2,210,21000000
Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,1077,2,2,93,9300000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2059,3,2,225,22500000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065,4,1,210,21000000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,1875,3,1,167,16700000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2825,4,3,250,25000000
Plot  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1566,2,0,180,18000000
Built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,1900,3,1,400,40000000
Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394,2,2,85,8500000
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,1590,3,3,131,13100000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394,2,1,100,10000000
Plot  Area,Ready To Move,1st Phase JP Nagar,4 BHK,1200,4,2,300,30000000
Built-up  Area,Ready To Move,1st Stage Domlur,3 BHK,1350,2,2,65,6500000
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,1400,2,1,67,6700000
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,3000,4,2,301,30100000
Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,1200,2,2,55,5500000
Plot  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,2400,4,1,500,50000000
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,940,2,1,56,5600000
Carpet  Area,Ready To Move,2nd Block Bel Layout,3 BHK,1625,3,3,92,9200000
Super built-up  Area,Ready To Move,2nd Block Bel Layout,3 BHK,1625,3,3,92,9200000
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3 BHK,1550,3,3,110,11000000
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3,2,90,9000000
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 BHK,1350,4,3,235,23500000
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 BHK,1050,6,1,74,7400000
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,1480,3,2,90,9000000
Super built-up  Area,Ready To Move,2nd Block Jayanagar,3 BHK,1718,3,3,223,22300000
Built-up  Area,Ready To Move,2nd Block Jayanagar,2 BHK,1000,2,1,97,9700000
Plot  Area,18-Apr,2nd Block Jayanagar,4 BHK,4920,5,2,1150,115000000
Plot  Area,Ready To Move,2nd Block Koramangala,3 BHK,3000,3,1,550,55000000
Built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,1040,2,2,78,7800000
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 BHK,2610,3,0,499,49900000
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 BHK,1200,3,1,190,19000000
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,1000,1,1,55,5500000
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,850,2,1,42.5,4250000
Super built-up  Area,18-Aug,2nd Phase JP Nagar,2 BHK,1070,2,2,38,3800000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,4725000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,4725000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450,2,1,50.75,5075000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150,2,1,40.25,4025000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1681,3,3,69,6900000
Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2 BHK,900,2,2,41,4100000
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,2 BHK,700,2,1,35,3500000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150,2,1,40.25,4025000
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350,2,2,47.25,4725000
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,3 BHK,1300,3,2,64,6400000
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,525,1,1,26,2600000
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 BHK,1200,4,1,130,13000000
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,3 BHK,2095,3,2,142,14200000
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 BHK,1200,4,1,235,23500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1350,4,1,200,20000000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1200,4,2,245,24500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1500,4,2,220,22000000
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,3000,3,3,170,17000000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 BHK,600,4,2,100,10000000
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,600,3,1,95,9500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3 BHK,600,5,1,135,13500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1500,3,2,230,23000000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,1200,4,1,225,22500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,600,4,2,125,12500000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,600,3,1,84,8400000
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 BHK,600,3,2,82,8200000
Plot  Area,Ready To Move,"2nd phase jp nagar, jp nagar",3 BHK,1200,3,1,205,20500000
Built-up  Area,Ready To Move,3rd Block Banashankari,4 BHK,1700,2,1,550,55000000
Built-up  Area,18-Apr,3rd Block Banashankari,3 BHK,1626.6,3,1,133,13300000
Plot  Area,Ready To Move,3rd Block Banashankari,4 BHK,1200,4,1,175,17500000
Built-up  Area,Ready To Move,3rd Block HBR Layout,3 BHK,2000,3,1,100,10000000
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1320,2,3,90,9000000
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1300,2,3,95,9500000
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,1650,3,2,140,14000000
Plot  Area,Ready To Move,3rd Block Hrbr Layout,4 BHK,1200,3,1,210,21000000
Plot  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1200,2,1,200,20000000
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,1056,2,1,80,8000000
Built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,2150,3,3,240,24000000
Super built-up  Area,Ready To Move,3rd Block Jayanagar,3 BHK,1350,2,2,140,14000000
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,1000,2,1,130,13000000
Built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,1750,3,3,170,17000000
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,2100,3,1,270,27000000
Super built-up  Area,Ready To Move,3rd Phase Iti Layout,2 BHK,1145,2,1,63,6300000
Built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,1550,2,2,79,7900000
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,4500,4,3,345,34500000
Super built-up  Area,Ready To Move,3rd Phase JP Nagar,3 BHK,2400,3,1,270,27000000
Built-up  Area,Ready To Move,3rd Stage Raja Rajeshwari Nagar,2 BHK,1300,3,1,65,6500000
Plot  Area,18-Apr,4 Bedroom Farm House in Bagalur,4 BHK,10961,4,1,80,8000000
Super built-up  Area,19-Dec,4th Block Jayanagar,3 BHK,2005,3,2,240,24000000
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 BHK,1567.2,2,0,190,19000000
Super built-up  Area,Ready To Move,4th Block Jayanagar,2 BHK,900,2,1,70,7000000
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1269,2,2,97,9700000
Built-up  Area,Ready To Move,4th Block Koramangala,4 BHK,2400,5,3,180,18000000
Plot  Area,Ready To Move,4th Block Koramangala,4 BHK,2400,4,0,550,55000000
Plot  Area,Ready To Move,4th Block Koramangala,4 BHK,2400,4,3,600,60000000
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,1225,2,2,150,15000000
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,1800,3,3,140,14000000
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,1080,2,2,38,3800000
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,600,4,1,70,7000000
Super built-up  Area,18-Aug,4th Phase JP Nagar,2 BHK,1070,2,2,38.9,3890000
Built-up  Area,Ready To Move,4th T block Jayanagar,4 BHK,1550,4,1,120,12000000
Plot  Area,Ready To Move,4th T block Jayanagar,4 BHK,2080,4,2,440,44000000
Plot  Area,Ready To Move,4th T block Jayanagar,4 BHK,2400,4,2,480,48000000
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2401,3,2,185,18500000
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2400,3,2,185,18500000
Super built-up  Area,Ready To Move,4th T block Jayanagar,3 BHK,2100,3,3,220,22000000
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206,2,2,56,5600000
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270,2,2,70,7000000
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1312,2,3,69,6900000
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1100,2,2,48,4800000
Plot  Area,Ready To Move,5th Block Hbr Layout,4 BHK,1200,4,2,205,20500000
Plot  Area,Ready To Move,5th Block Jayanagar,4 BHK,10624,4,2,2340,234000000
Plot  Area,Ready To Move,5th Block Jayanagar,3 BHK,500,2,1,75,7500000
Built-up  Area,Ready To Move,5th Block Jayanagar,1 BHK,1500,1,1,300,30000000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256,2,1,62.8,6280000
Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,600,1,1,30,3000000
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700,2,3,100,10000000
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1550,3,3,75,7500000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1190,2,2,61.8,6180000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2,2,60,6000000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1450,2,2,73,7300000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,812,2,1,42,4200000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1041,2,2,54,5400000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1080,2,1,53,5300000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200,2,1,68,6800000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1485,2,1,66,6600000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1240,3,2,60,6000000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1200,2,2,51,5100000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,552,1,1,23.5,2350000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1350,2,1,75,7500000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1000,2,0,48,4800000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1220,2,3,88,8800000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1390,2,2,65,6500000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1485,2,2,67,6700000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1450,2,1,58,5800000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1400,2,1,88,8800000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440,2,2,60,6000000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207,2,2,63,6300000
Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,1070,2,2,39,3900000
Plot  Area,Ready To Move,5th Phase JP Nagar,4 BHK,2400,4,1,228,22800000
Plot  Area,Ready To Move,5th Phase JP Nagar,4 BHK,1000,4,2,130,13000000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010,2,2,57,5700000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1030,2,2,57,5700000
Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725,2,2,100,10000000
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075,2,2,60,6000000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150,3,3,52.5,5250000
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256,2,1,62.8,6280000
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3,2,85,8500000
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,2000,3,2,85,8500000
Built-up  Area,Ready To Move,5th block Koramangala,4 BHK,4000,4,1,520,52000000
Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,2100,4,2,255,25500000
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4 BHK,3200,3,3,190,19000000
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,600,1,1,75,7500000
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1140,2,2,65,6500000
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1645,3,3,100,10000000
Built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,600,2,0,100,10000000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1280,2,1,88,8800000
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,750,1,1,105,10500000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1515,2,2,135,13500000
Plot  Area,Ready To Move,6th Phase JP Nagar,4 BHK,600,4,3,125,12500000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2003,3,3,200,20000000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2,3,75,7500000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1170,2,2,120,12000000
Super built-up  Area,18-Aug,6th Phase JP Nagar,3 BHK,1250,3,3,48.9,4890000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1213,2,1,63,6300000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,1810,3,3,131,13100000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1192,2,2,74,7400000
Built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1216,2,2,60,6000000
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1180,2,3,80,8000000
Super built-up  Area,Ready To Move,6th block Koramangala,3 BHK,3000,3,2,400,40000000
Super built-up  Area,18-Oct,6th block Koramangala,3 BHK,1450,2,3,89.6,8960000
Built-up  Area,Ready To Move,6th block Koramangala,2 BHK,1117,2,1,110,11000000
Built-up  Area,Ready To Move,6th block Koramangala,3 BHK,2350,3,2,400,40000000
Plot  Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR",3 BHK,4000,3,1,660,66000000
Super built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,1707,3,2,171,17100000
Plot  Area,Ready To Move,7th Block Jayanagar,3 BHK,2400,3,0,408,40800000
Plot  Area,Ready To Move,7th Block Jayanagar,4 BHK,2400,3,2,480,48000000
Built-up  Area,Ready To Move,7th Block Jayanagar,3 BHK,1903,2,1,293,29300000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460,2,1,97,9700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,1,44,4400000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,41.59,4159000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,3,125,12500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100,3,2,200,20000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2,75,7500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,1,70.65,7065000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1200,2,2,62.5,6250000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650,3,3,110,11000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1460,2,2,100,10000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,3,1,60,6000000
Super built-up  Area,18-Aug,7th Phase JP Nagar,2 BHK,1070,2,2,42,4200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2,1,39.33,3933000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1385,2,2,58.17,5817000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1675,2,2,135,13500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1790,3,3,120,12000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,125,12500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000,2,2,53,5300000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1236,2,2,61.33,6133000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,1,150,15000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1650,3,2,110,11000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1275,2,1,87,8700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,50,5000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1350,3,2,58,5800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,3,2,100,10000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130,2,2,73,7300000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,3,2,89.13,8913000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,75,7500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1215,2,2,90,9000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1175,2,2,82.5,8250000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1212,3,1,42,4200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,120,12000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,2,150,15000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2,2,52,5200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2,1,54.79,5479000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2,2,54.79,5479000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,2,140,14000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1850,3,2,155,15500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2,2,110,11000000
Super built-up  Area,19-Jan,7th Phase JP Nagar,2 BHK,1187,2,1,59,5900000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,117,11700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1 BHK,750,1,2,47,4700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1174,2,1,47,4700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2,1,54.79,5479000
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,1976,3,1,145,14500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1600,2,2,110,11000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1765,3,2,118,11800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2,1,102,10200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2,1,39.33,3933000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1575,2,2,110,11000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100,3,2,200,20000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,42,4200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,990,2,2,50,5000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,2,3,92,9200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1100,2,1,44,4400000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1430,2,1,102,10200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1128,2,1,60,6000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100,3,2,190,19000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,3,2,90,9000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1530,2,1,108,10800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2095,3,2,150,15000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1515,2,1,76,7600000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,112,11200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1300,2,2,52,5200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,75,7500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2,1,75,7500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2,1,95,9500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1800,3,2,130,13000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,0,68,6800000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1400,2,2,57,5700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,125,12500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,980,2,1,86,8600000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,77,7700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1370,2,2,54.79,5479000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,1,80,8000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1463,2,1,61.45,6145000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,42,4200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,2,122,12200000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1070,2,1,42.79,4279000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1130,2,2,85,8500000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3,3,130,13000000
Super built-up  Area,18-Jul,7th Phase JP Nagar,3 BHK,2000,3,2,77,7700000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2,1,77.47,7747000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1250,3,2,65,6500000
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3300,4,3,160,16000000
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2200,3,2,190,19000000
Plot  Area,Ready To Move,7th Phase JP Nagar,4 BHK,1500,5,3,220,22000000
Plot  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1500,3,1,170,17000000
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1140,2,1,57,5700000
